Age,Number
0-4,19107
5-9,20390
10-14,20760
15-19,20596
20-24,19645
25-29,19517
30-34,20611
35-39,22663
40-44,22887
45-49,20871
50-54,18242
55-59,14080
60-64,11284
65-69,9571
70-74,8757
75-79,7404
80-84,5123
85-89,2760
90-94,1188
95-99,295
100+,46
