Collection_Year,Serotype,Number_of_Serotypes,Age_Years
2004,35F,5,2. 1> - <=2 years
2004,35F,1,4. 3> - <=4 years
2004,35F,1,6. 5> - <=6 years
2004,37,1,4. 3> - <=4 years
2004,38,1,2. 1> - <=2 years
2004,6A,3,1. <=1 year
2004,6A,6,2. 1> - <=2 years
2004,6A,3,3. 2> - <=3 years
2004,6A,2,4. 3> - <=4 years
2004,6A,2,5. 4> - <=5 years
2004,6A,1,6. 5> - <=6 years
2004,6B,2,2. 1> - <=2 years
2004,6B,1,5. 4> - <=5 years
2004,6B,1,6. 5> - <=6 years
2004,6B,1,7. 6> - <=7 years
2004,6C,2,1. <=1 year
2004,6C,2,2. 1> - <=2 years
2004,6C,1,5. 4> - <=5 years
2004,6C,2,6. 5> - <=6 years
2004,7F,1,4. 3> - <=4 years
2004,7F,1,5. 4> - <=5 years
2004,9A,1,5. 4> - <=5 years
2004,9V,1,6. 5> - <=6 years
2004,NT,1,1. <=1 year
2004,NT,3,2. 1> - <=2 years
2004,Pool I,1,2. 1> - <=2 years
2004,Pool I,1,4. 3> - <=4 years
2007,10A,2,1. <=1 year
2007,10A,2,2. 1> - <=2 years
2007,10A,3,3. 2> - <=3 years
2007,10A,1,6. 5> - <=6 years
2007,11A,6,1. <=1 year
2007,11A,7,2. 1> - <=2 years
2007,11A,5,3. 2> - <=3 years
2007,11A,4,4. 3> - <=4 years
2007,11A,3,5. 4> - <=5 years
2007,11A,1,7. 6> - <=7 years
2007,15A,2,1. <=1 year
2007,15A,5,2. 1> - <=2 years
2007,15A,1,3. 2> - <=3 years
2007,15A,2,4. 3> - <=4 years
2007,15A,2,6. 5> - <=6 years
2007,15A,1,7. 6> - <=7 years
2007,15B/C,3,1. <=1 year
2007,15B/C,8,2. 1> - <=2 years
2007,15B/C,7,3. 2> - <=3 years
2007,15B/C,4,4. 3> - <=4 years
2007,15B/C,5,5. 4> - <=5 years
2007,15B/C,2,6. 5> - <=6 years
2007,15B/C,1,7. 6> - <=7 years
2007,15F,1,1. <=1 year
2007,15F,1,3. 2> - <=3 years
2007,15F,1,5. 4> - <=5 years
2007,16F,1,1. <=1 year
2007,16F,2,2. 1> - <=2 years
2007,16F,1,3. 2> - <=3 years
2007,16F,1,4. 3> - <=4 years
2007,16F,2,5. 4> - <=5 years
2007,16F,1,6. 5> - <=6 years
2007,17F,1,1. <=1 year
2007,17F,2,3. 2> - <=3 years
2007,17F,1,5. 4> - <=5 years
2007,19A,15,1. <=1 year
2007,19A,14,2. 1> - <=2 years
2007,19A,6,3. 2> - <=3 years
2007,19A,5,4. 3> - <=4 years
2007,19A,2,5. 4> - <=5 years
2007,19A,3,6. 5> - <=6 years
2007,19A,1,7. 6> - <=7 years
2007,19F,3,1. <=1 year
2007,19F,1,2. 1> - <=2 years
2007,19F,1,3. 2> - <=3 years
2007,19F,2,4. 3> - <=4 years
2007,21,1,1. <=1 year
2007,22F,2,1. <=1 year
2007,22F,2,2. 1> - <=2 years
2007,22F,1,3. 2> - <=3 years
2007,22F,2,6. 5> - <=6 years
2007,23A,7,1. <=1 year
2007,23A,5,2. 1> - <=2 years
2007,23A,2,3. 2> - <=3 years
2007,23A,4,4. 3> - <=4 years
2007,23A,2,5. 4> - <=5 years
2007,23B,6,1. <=1 year
2007,23B,5,2. 1> - <=2 years
2007,23B,3,3. 2> - <=3 years
2007,23B,1,4. 3> - <=4 years
2007,23B,1,5. 4> - <=5 years
2007,23F,1,1. <=1 year
2007,3,1,1. <=1 year
2007,3,1,2. 1> - <=2 years
2007,3,1,6. 5> - <=6 years
2007,31,1,2. 1> - <=2 years
2007,31,1,3. 2> - <=3 years
2007,31,1,5. 4> - <=5 years
2007,33A,1,7. 6> - <=7 years
2007,33F,1,1. <=1 year
2007,34,1,5. 4> - <=5 years
2007,34,1,7. 6> - <=7 years
2007,35B,12,1. <=1 year
2007,35B,9,2. 1> - <=2 years
2007,35B,1,3. 2> - <=3 years
2007,35B,3,4. 3> - <=4 years
2007,35B,1,5. 4> - <=5 years
2007,35B,1,7. 6> - <=7 years
2007,35F,5,1. <=1 year
2007,35F,1,2. 1> - <=2 years
2007,35F,2,3. 2> - <=3 years
2007,35F,1,7. 6> - <=7 years
2007,37,1,2. 1> - <=2 years
2007,38,1,1. <=1 year
2007,38,1,2. 1> - <=2 years
2007,38,1,4. 3> - <=4 years
2007,38,1,5. 4> - <=5 years
2007,6A,2,1. <=1 year
2007,6A,2,2. 1> - <=2 years
2007,6A,1,5. 4> - <=5 years
2007,6A,1,6. 5> - <=6 years
2007,6B,1,1. <=1 year
2007,6B,1,4. 3> - <=4 years
2007,6C,6,1. <=1 year
2007,6C,7,2. 1> - <=2 years
2007,6C,4,3. 2> - <=3 years
2007,6C,5,4. 3> - <=4 years
2007,6C,1,5. 4> - <=5 years
2007,6C,2,6. 5> - <=6 years
2007,6C,1,7. 6> - <=7 years
2007,7C,2,3. 2> - <=3 years
2007,7F,2,1. <=1 year
2007,7F,1,2. 1> - <=2 years
2007,7F,1,3. 2> - <=3 years
2007,7F,3,5. 4> - <=5 years
2007,7F,1,6. 5> - <=6 years
2007,7F,1,7. 6> - <=7 years
2007,9N,1,2. 1> - <=2 years
2007,9N,1,3. 2> - <=3 years
2007,9V,1,1. <=1 year
2007,NT,1,1. <=1 year
2007,NT,1,2. 1> - <=2 years
2007,NT,1,6. 5> - <=6 years
2007,NT,1,7. 6> - <=7 years
2009,10A,2,1. <=1 year
2009,10A,3,2. 1> - <=2 years
2009,10A,1,3. 2> - <=3 years
2009,10A,2,4. 3> - <=4 years
2009,10A,2,5. 4> - <=5 years
2009,10A,2,7. 6> - <=7 years
2009,11A,1,1. <=1 year
2009,11A,5,2. 1> - <=2 years
2009,11A,4,3. 2> - <=3 years
2009,11A,5,4. 3> - <=4 years
2009,11A,1,5. 4> - <=5 years
2009,11A,2,6. 5> - <=6 years
2009,11A,1,7. 6> - <=7 years
2009,13,1,1. <=1 year
2009,14,1,4. 3> - <=4 years
2009,15A,4,1. <=1 year
2009,15A,3,2. 1> - <=2 years
2009,15A,1,3. 2> - <=3 years
2009,15A,3,5. 4> - <=5 years
2009,15B/C,8,1. <=1 year
2009,15B/C,8,2. 1> - <=2 years
2009,15B/C,5,3. 2> - <=3 years
2009,15B/C,5,4. 3> - <=4 years
2009,15B/C,3,5. 4> - <=5 years
2009,15B/C,2,6. 5> - <=6 years
2009,15B/C,1,7. 6> - <=7 years
2009,16F,1,2. 1> - <=2 years
2009,16F,1,5. 4> - <=5 years
2009,16F,1,6. 5> - <=6 years
2009,17F,1,1. <=1 year
2009,17F,1,2. 1> - <=2 years
2009,17F,1,6. 5> - <=6 years
2009,18F,1,7. 6> - <=7 years
2009,19A,18,1. <=1 year
2009,19A,10,2. 1> - <=2 years
2009,19A,4,3. 2> - <=3 years
2009,19A,3,4. 3> - <=4 years
2009,19A,5,5. 4> - <=5 years
2009,19A,1,6. 5> - <=6 years
2009,19A,1,7. 6> - <=7 years
2009,19F,1,2. 1> - <=2 years
2009,19F,1,3. 2> - <=3 years
2009,19F,2,6. 5> - <=6 years
2009,21,1,1. <=1 year
2009,21,4,3. 2> - <=3 years
2009,22F,1,1. <=1 year
2009,22F,1,2. 1> - <=2 years
2009,22F,1,3. 2> - <=3 years
2009,22F,4,4. 3> - <=4 years
2009,22F,1,5. 4> - <=5 years
2009,22F,2,6. 5> - <=6 years
2009,23A,6,1. <=1 year
2009,23A,3,2. 1> - <=2 years
2009,23A,2,3. 2> - <=3 years
2009,23A,2,4. 3> - <=4 years
2009,23A,3,5. 4> - <=5 years
2009,23A,2,6. 5> - <=6 years
2009,23A,2,7. 6> - <=7 years
2009,23B,5,1. <=1 year
2009,23B,10,2. 1> - <=2 years
2009,23B,1,3. 2> - <=3 years
2009,23B,3,4. 3> - <=4 years
2009,23B,2,5. 4> - <=5 years
2009,25A,1,1. <=1 year
2009,25A,1,5. 4> - <=5 years
2009,3,1,4. 3> - <=4 years
2009,3,1,5. 4> - <=5 years
2009,31,1,1. <=1 year
2009,31,2,5. 4> - <=5 years
2009,33F,1,1. <=1 year
2009,33F,2,3. 2> - <=3 years
2009,34,3,1. <=1 year
2009,34,1,2. 1> - <=2 years
2009,34,2,5. 4> - <=5 years
2009,34,1,6. 5> - <=6 years
2009,35B,6,1. <=1 year
2009,35B,7,2. 1> - <=2 years
2009,35B,2,3. 2> - <=3 years
2009,35B,2,4. 3> - <=4 years
2009,35B,1,5. 4> - <=5 years
2009,35B,1,6. 5> - <=6 years
2009,35B,1,7. 6> - <=7 years
2009,35F,4,1. <=1 year
2009,35F,2,2. 1> - <=2 years
2009,35F,2,4. 3> - <=4 years
2009,35F,1,5. 4> - <=5 years
2009,35F,1,6. 5> - <=6 years
2009,36,1,2. 1> - <=2 years
2009,37,1,3. 2> - <=3 years
2009,6A,1,1. <=1 year
2009,6A,1,2. 1> - <=2 years
2009,6A,1,5. 4> - <=5 years
2009,6A,1,6. 5> - <=6 years
2009,6B,1,2. 1> - <=2 years
2009,6C,12,1. <=1 year
2009,6C,4,2. 1> - <=2 years
2009,6C,5,3. 2> - <=3 years
2009,6C,6,4. 3> - <=4 years
2009,6C,1,5. 4> - <=5 years
2009,6C,3,6. 5> - <=6 years
2009,6C,1,7. 6> - <=7 years
2009,7C,1,1. <=1 year
2009,7C,1,3. 2> - <=3 years
2009,7C,1,5. 4> - <=5 years
2009,7F,3,1. <=1 year
2009,7F,2,2. 1> - <=2 years
2009,7F,1,4. 3> - <=4 years
2009,7F,1,5. 4> - <=5 years
2009,7F,2,6. 5> - <=6 years
2009,7F,1,7. 6> - <=7 years
2009,9N,2,1. <=1 year
2009,NT,1,1. <=1 year
2009,NT,2,2. 1> - <=2 years
2009,NT,1,6. 5> - <=6 years
2011,10A,2,1. <=1 year
2011,10A,3,2. 1> - <=2 years
2011,10A,1,3. 2> - <=3 years
2011,10A,1,5. 4> - <=5 years
2011,10A,1,6. 5> - <=6 years
2011,11A,5,1. <=1 year
2011,11A,11,2. 1> - <=2 years
