0, 0, 0.000888889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000754717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.998356
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000833333, -2.16492e-17, 0, 0, -8.77638e-19, 0, 0, 0, 0, 0, 0, 0.000888889, 0, 0, 0, 0, 0.00196997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.996308
0, 0, 0, 0, 0, -1.34257e-18, 0.00102564, 0, 0, 0, 0, 0, 0, 0, 0.000816327, 0, 0, 0.00097561, 0, 0, 0, 0, 0, 0, 0, 0.00195122, 0, 0, 0, 0, 0.00097561, 0, 0, 0, 0, 0.000952381, 0, 0.0045812, 0, 0, 0.988722
0, 0, 0, 0, 0, 0.0114536, 0, 0, 0, 0.00685762, 0, 0.00406094, 0, 0, 0.0057546, 0.00102564, 0.000851064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00177778, 0.00097561, 0, 0.967243
0.00205128, 0, 0, 0, 0, 0, 0.000444444, 0, 0, 0, 0, 0.0647063, 0.000512821, 0, 0, 0, 0, 0.0415016, 0.000952381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00216216, 0, 0.00163265, 0, 0, 0, 0, 0, 0.886036
0, 0.0494637, 0, 0.00190476, 0, 0, 0, 0, 0, 0, 0, 0.000769231, 0, -3.03544e-19, 0, 0.0145479, 0, 0.0271463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0451532, 0, 0, 0, 0, 0.00656724, 0.000930233, 0, 0.853517
0.0342545, -1.32315e-18, 0, 0.000816327, 0.0005, 0, 0.00421479, 0, 0, 0, 0, 0.0377889, 0, 0, 0.0186656, 0.0016, 0, 0.0210757, 0, 0, 0, 0.0100612, 0, 0, 0, 0, 0.00212766, 0, 0, 0, 0, 0, -1.32315e-18, 0, 0, 0, 0, 0, 0, 0, 0.868895
0.000465116, 0.00163265, 0, 0, -5.35897e-18, 0.0180087, 0, 0, 0.00105263, 0.0355159, 0, 0.122477, 0, 0, -5.35897e-18, 0, 0.00491497, 0, 0, 0.00157895, 0, 0, 0, 0, 0, 0.0341483, 0, 0, 0, 0, 0.00205128, 0, 0, 0, 0, 0, 0, 0.00889339, 0, 0, 0.769261
0, 0, 0, 0.0168001, 0, -1.3337e-18, 0.0126703, 0, 0, 0, 0.0492181, 0, 0, 0, -1.3337e-18, 0.00364338, 0.00108108, 0.0411757, 0, 0.00195122, 0, 0.00562569, 0, 0, 0, 0.0015, 0, 0, 0, 0, 0, 0.0764619, 0, 0, 0.0005, 0, 0, 0.00102564, 0, 0, 0.788347
0, 0.0234146, 0.00108108, 0, 0, -5.87511e-18, 0, 0, 0, 0, 0, 0.0325891, 0, 0, 0.0322846, 0, 0, 0, 0, 0.00133333, 0, 0.0463555, 0, 0, 4.31068e-17, 0.0744215, 0, 0, 0, 0.000512821, 0, 0, 0, 0.00105263, 0, 0, 0, 0.00047619, 0, 0, 0.786479
0, 0, 0, 0, 0, 0.0397434, 0, 0, 0, 0.0533919, 0, 0, 0.00108108, 0, 0, 0, 0.0518279, 0, 0, 0, 0.000930233, 0, 0, 0, 0, 0, 0, 0.00313236, 0, 0, 0, 0.0290031, 0, 0, 0, 0, 0, 6.46571e-17, 0, 0, 0.82089
