77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 86, 75, 69, 75, 73, 87, 97, 83, 49, 65, 58, 63, 71, 46, 49, 46, 52, 59, 39, 44, 43, 37, 34, 34, 34, 31, 18, 34, 19, 19, 22, 24, 27, 26, 20, 26, 18, 15, 21, 20, 19, 15, 10, 15, 15, 12, 5, 9, 6, 5, 9, 2, 6, 2, 2, 1, 0, 2, 0, 0, 0, 0, 0
102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 86, 75, 69, 75, 73, 87, 87, 80, 49, 65, 53, 57, 66, 44, 47, 43, 48, 54, 37, 41, 38, 36, 29, 34, 33, 28, 17, 33, 18, 18, 20, 23, 26, 24, 19, 25, 17, 13, 17, 20, 16, 13, 10, 12, 13, 9, 5, 9, 6, 3, 8, 2, 5, 1, 2, 1, 0, 2, 0, 0, 0, 0
89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 86, 75, 69, 75, 71, 83, 83, 78, 48, 61, 50, 55, 60, 41, 43, 39, 45, 49, 35, 39, 37, 34, 28, 32, 33, 28, 17, 32, 17, 18, 20, 22, 25, 24, 16, 23, 16, 13, 15, 19, 14, 11, 9, 11, 12, 9, 4, 8, 5, 1, 6, 1, 3, 1, 1, 1, 0, 1, 0, 0, 0
79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 86, 75, 69, 73, 71, 82, 80, 74, 44, 55, 44, 54, 58, 39, 42, 37, 42, 44, 34, 37, 35, 33, 27, 32, 33, 28, 17, 32, 17, 17, 20, 22, 22, 24, 16, 19, 10, 13, 15, 17, 13, 10, 9, 9, 10, 8, 2, 7, 5, 1, 4, 1, 2, 0, 1, 1, 0, 1, 0, 0
85, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 86, 75, 67, 67, 70, 80, 78, 69, 40, 52, 41, 52, 51, 36, 39, 37, 39, 44, 34, 35, 34, 31, 26, 32, 31, 28, 17, 31, 16, 17, 19, 22, 19, 23, 16, 17, 8, 12, 13, 16, 10, 6, 9, 9, 8, 8, 2, 6, 5, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0
81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 86, 73, 65, 65, 68, 76, 74, 67, 39, 51, 38, 51, 46, 34, 35, 35, 36, 42, 32, 33, 30, 30, 26, 31, 29, 28, 15, 29, 15, 17, 18, 19, 19, 23, 15, 13, 8, 9, 10, 16, 9, 5, 7, 9, 7, 8, 1, 6, 5, 0, 2, 0, 0, 0, 1, 0, 0, 0
87, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 78, 84, 71, 64, 63, 66, 72, 66, 62, 37, 44, 36, 48, 42, 32, 32, 35, 35, 41, 30, 30, 29, 29, 25, 30, 28, 27, 15, 26, 15, 16, 18, 18, 16, 23, 13, 12, 7, 6, 10, 14, 8, 5, 7, 8, 7, 6, 1, 6, 2, 0, 2, 0, 0, 0, 0, 0, 0
72, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 74, 80, 70, 64, 62, 62, 66, 63, 59, 34, 40, 31, 45, 41, 32, 31, 33, 33, 38, 29, 30, 29, 29, 25, 30, 26, 27, 14, 25, 15, 16, 18, 18, 16, 18, 13, 11, 7, 6, 9, 13, 8, 2, 6, 7, 4, 5, 1, 5, 2, 0, 2, 0, 0, 0, 0, 0
72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 76, 76, 71, 75, 70, 60, 57, 55, 63, 63, 56, 34, 39, 28, 45, 38, 29, 29, 33, 32, 37, 29, 29, 29, 27, 24, 30, 25, 26, 14, 23, 13, 15, 17, 16, 16, 16, 10, 10, 6, 6, 8, 13, 7, 2, 6, 7, 4, 3, 1, 2, 1, 0, 2, 0, 0, 0, 0
106, 72, 73, 88, 81, 86, 79, 89, 102, 77, 68, 87, 74, 80, 77, 76, 69, 77, 77, 80, 73, 92, 63, 85, 77, 75, 88, 72, 83, 72, 74, 76, 70, 83, 92, 83, 97, 88, 84, 83, 91, 67, 71, 69, 77, 74, 76, 71, 72, 66, 54, 52, 49, 59, 53, 49, 31, 37, 25, 42, 37, 27, 27, 31, 27, 37, 28, 26, 29, 25, 24, 30, 25, 25, 14, 23, 12, 11, 17, 15, 13, 14, 9, 9, 4, 5, 7, 12, 5, 1, 6, 6, 2, 2, 0, 0, 1, 0, 1, 0, 0, 0
